Name,Address,Latitude,Longitude,_id,amount,amountLevels.0.amount,amountLevels.0.name,amountLevels.1.amount,amountLevels.1.name,amountLevels.2.amount,amountLevels.2.name,amountLevels.3.amount,amountLevels.3.name,billingId,createdBy.displayName,createdBy.userId,createdDate,isDeleted,month,priceLevels.0.amount,priceLevels.0.currency,priceLevels.0.description,priceLevels.0.from,priceLevels.0.name,priceLevels.0.to,priceLevels.1.amount,priceLevels.1.currency,priceLevels.1.description,priceLevels.1.from,priceLevels.1.name,priceLevels.1.to,priceLevels.2.amount,priceLevels.2.currency,priceLevels.2.description,priceLevels.2.from,priceLevels.2.name,priceLevels.2.to,priceLevels.3.amount,priceLevels.3.currency,priceLevels.3.description,priceLevels.3.from,priceLevels.3.name,priceLevels.3.to,requestDate,serviceId,serviceName,totalElementSuccess,totalRequestError,totalRequestSuccess,updatedBy.displayName,updatedBy.userId,updatedDate,userId,year
,,,,66ac4bb71259038a122a8217,48880.0,48880.0,Giá mức 1,0.0,Giá mức 2,0.0,Giá mức 3,0.0,Giá mức 4,,System,System,2024-08-02T03:00:06.152Z,False,8.0,26.0,VND,default,0.0,Giá mức 1,100000.0,26.0,VND,default,100001.0,Giá mức 2,500000.0,20.8,VND,default,500001.0,Giá mức 3,1250000.0,18.2,VND,default,1250001.0,Giá mức 4,,2024-08-01T12:00:00.000Z,5e9925272eb96015a0d00708,Tự động đề xuất,0.0,0.0,1880.0,System,System,2024-08-12T03:00:01.524Z,81297fc1-91a2-418b-ab49-a3e0d272f630,2024.0
,,,,66ac4bb71259038a122a8218,26386627.0,4700000.0,Giá mức 1,18800000.0,Giá mức 2,2886627.0,Giá mức 3,0.0,Giá mức 4,,System,System,2024-08-02T03:00:06.157Z,False,8.0,47.0,VND,default,0.0,Giá mức 1,100000.0,47.0,VND,default,100001.0,Giá mức 2,500000.0,37.6,VND,default,500001.0,Giá mức 3,1250000.0,32.9,VND,default,1250001.0,Giá mức 4,,2024-08-01T12:00:00.000Z,5e9925272eb96015a0d00715,Tìm đường,0.0,0.0,576772.0,System,System,2024-08-12T03:00:01.527Z,81297fc1-91a2-418b-ab49-a3e0d272f630,2024.0
,,,,66ac4bb71259038a122a8219,27416.0,27416.0,Giá mức 1,0.0,Giá mức 2,0.0,Giá mức 3,0.0,Giá mức 4,,System,System,2024-08-02T03:00:06.162Z,False,8.0,149.0,VND,default,0.0,Giá mức 1,100000.0,149.0,VND,default,100001.0,Giá mức 2,500000.0,119.2,VND,default,500001.0,Giá mức 3,1250000.0,104.3,VND,default,1250001.0,Giá mức 4,,2024-08-01T12:00:00.000Z,5e9925272eb96015a0d0070c,Tìm kiếm địa điểm,0.0,0.0,184.0,System,System,2024-08-12T03:00:01.531Z,81297fc1-91a2-418b-ab49-a3e0d272f630,2024.0
,,,,66ac4bb71259038a122a821a,1192.0,1192.0,Giá mức 1,0.0,Giá mức 2,0.0,Giá mức 3,0.0,Giá mức 4,,System,System,2024-08-02T03:00:06.167Z,False,8.0,149.0,VND,default,0.0,Giá mức 1,100000.0,149.0,VND,default,100001.0,Giá mức 2,500000.0,119.2,VND,default,500001.0,Giá mức 3,1250000.0,104.3,VND,default,1250001.0,Giá mức 4,,2024-08-01T12:00:00.000Z,5e9925272eb96015a0d0070a,Tìm kiếm địa điểm trong khu vực,0.0,0.0,8.0,System,System,2024-08-12T03:00:01.534Z,81297fc1-91a2-418b-ab49-a3e0d272f630,2024.0
,,,,66ac4bb71259038a122a821c,1035551.0,1035551.0,Giá mức 1,0.0,Giá mức 2,0.0,Giá mức 3,0.0,Giá mức 4,,System,System,2024-08-02T03:00:06.174Z,False,8.0,47.0,VND,default,0.0,Giá mức 1,100000.0,47.0,VND,default,100001.0,Giá mức 2,500000.0,37.6,VND,default,500001.0,Giá mức 3,1250000.0,32.9,VND,default,1250001.0,Giá mức 4,,2024-08-01T12:00:00.000Z,5e9925272eb96015a0d0070d,Phân giải địa chỉ (v1),0.0,0.0,22033.0,System,System,2024-08-12T03:00:01.572Z,fa30da5f-8216-4c07-9d14-213946baf88f,2024.0
,,,,66ac4bb71259038a122a821d,6477030.0,6477030.0,Giá mức 1,0.0,Giá mức 2,0.0,Giá mức 3,0.0,Giá mức 4,,System,System,2024-08-02T03:00:06.177Z,False,8.0,149.0,VND,default,0.0,Giá mức 1,100000.0,149.0,VND,default,100001.0,Giá mức 2,500000.0,119.2,VND,default,500001.0,Giá mức 3,1250000.0,104.3,VND,default,1250001.0,Giá mức 4,,2024-08-01T12:00:00.000Z,5e9925272eb96015a0d00710,Tìm kiếm địa điểm lân cận,0.0,0.0,43470.0,System,System,2024-08-12T03:00:01.575Z,fa30da5f-8216-4c07-9d14-213946baf88f,2024.0
,,,,66ac4bb71259038a122a821e,635910.0,635910.0,Giá mức 1,0.0,Giá mức 2,0.0,Giá mức 3,0.0,Giá mức 4,,System,System,2024-08-02T03:00:06.180Z,False,8.0,56.4,VND,default,0.0,Giá mức 1,100000.0,56.4,VND,default,100001.0,Giá mức 2,500000.0,45.12,VND,default,500001.0,Giá mức 3,1250000.0,39.48,VND,default,1250001.0,Giá mức 4,,2024-08-01T12:00:00.000Z,635259bbbf3af93639d14812,Tìm đường nâng cao,0.0,0.0,11275.0,System,System,2024-08-12T03:00:01.578Z,fa30da5f-8216-4c07-9d14-213946baf88f,2024.0
,,,,66ac4bb71259038a122a821f,9776.0,9776.0,Giá mức 1,0.0,Giá mức 2,0.0,Giá mức 3,0.0,Giá mức 4,,System,System,2024-08-02T03:00:06.183Z,False,8.0,47.0,VND,default,0.0,Giá mức 1,100000.0,47.0,VND,default,100001.0,Giá mức 2,500000.0,37.6,VND,default,500001.0,Giá mức 3,1250000.0,32.9,VND,default,1250001.0,Giá mức 4,,2024-08-01T12:00:00.000Z,5e9925272eb96015a0d00715,Tìm đường,0.0,0.0,208.0,System,System,2024-08-12T03:00:01.581Z,fa30da5f-8216-4c07-9d14-213946baf88f,2024.0
,,,,66ac4bb71259038a122a8221,9179946.0,4700000.0,Giá mức 1,4479946.0,Giá mức 2,0.0,Giá mức 3,0.0,Giá mức 4,,System,System,2024-08-02T03:00:06.273Z,False,8.0,47.0,VND,default,0.0,Giá mức 1,100000.0,47.0,VND,default,100001.0,Giá mức 2,500000.0,37.6,VND,default,500001.0,Giá mức 3,1250000.0,32.9,VND,default,1250001.0,Giá mức 4,,2024-08-01T12:00:00.000Z,5e9925272eb96015a0d0070d,Phân giải địa chỉ (v1),0.0,0.0,195318.0,System,System,2024-08-12T03:00:01.708Z,ea70404a-07b7-40aa-86b0-bd7175902301,2024.0
,,,,66ac4bb71259038a122a8222,46560.0,46560.0,Giá mức 1,0.0,Giá mức 2,0.0,Giá mức 3,0.0,Giá mức 4,,System,System,2024-08-02T03:00:06.276Z,False,8.0,40.0,VND,default,0.0,Giá mức 1,100000.0,40.0,VND,default,100001.0,Giá mức 2,500000.0,30.0,VND,default,500001.0,Giá mức 3,1250000.0,20.0,VND,default,1250001.0,Giá mức 4,,2024-08-01T12:00:00.000Z,6214b2fe91f655595cbed4fb,Bản đồ 2D (Mobile),0.0,0.0,1164.0,System,System,2024-08-12T03:00:01.705Z,ea70404a-07b7-40aa-86b0-bd7175902301,2024.0
