place_id,name,address,lat,lng,matched_keyword
ChIJ9YJWjSmzQDER5U8XaMl9Hdk,Cổng chính FLC Quảng Bình,"8PCH+XMP, QL1A, Hồng Thuỷ",17.3224613,106.7292176,Cổng
ChIJZ1mKMQCxQDERMAxp_thLDwo,Cổng làng Phú Xuân,"5QG3+2C5, ĐT16, Phú Thuỷ",17.175003,106.7536133,Cổng
ChIJ8bSBHdeZODERAT74udkm57c,"QB SMART - Lắp đặt Nhà Thông Minh, Cổng Tự Động tại Quảng Bình","269 Trần Hưng Đạo, Quảng Thọ",17.7538477,106.4426566,Cổng
ChIJdQ2zFOejODERyQZXPvxN4hI,Cổng Làng Thọ Hạ,"P985+VVC, Quảng Sơn",17.7171802,106.3596372,Cổng
ChIJm_TrTiaZODERFCPEg-3QDbU,Cổng chào Tân Lộc,"P9X7+HJ8, Tân Tiến",17.7489169,106.3640724,Cổng
ChIJX1cxGnhZRzERQiV6CLoE84Q,Cửa hàng Quang Cảnh,"HGJP+HRX, Cổng chợ",17.5815035,106.5371738,Cổng
ChIJSU9bBhVTRzERUpFl4LMlOfc,8X Billiards Club,"Cổng làng thôn, Trúc Ly",17.3878449,106.6513013,Cổng
ChIJtwLY0jpXRzER657ljUeIdfA,Lắp đặt cổng cửa tự động Roger #1 Italy,"37 Dương Văn An, Đồng Hải",17.4757546,106.6220075,Cổng
ChIJT30F05eZODERU6t4LISDbbI,Cửa hàng tạp hoá Hồng Long,"Q9WH+HJP, chợ cổng",17.7964571,106.379064,Cổng
ChIJ-RczDACfODERIs0WKj_y9bc,Cổng Chào Thanh Bình,"RC4R+X6Q, Quảng Xuân",17.8074529,106.4406204,Cổng
ChIJE74mfwBXRzERwWt334jF-xU,Cổng trường cấp 2 Bắc Nghĩa,"44 Đ. Nguyễn Trọng Nhân, Phương Xuân",17.4440717,106.5965201,Cổng
ChIJH1d9f7ShODERjsJA99Bk-Ps,Quán Cổng Làng,"Thôn, Thanh Xuân",17.698219,106.489216,Cổng
ChIJ0_t2Gk5XRzEROYLN1OD5d3M,Cổng tự động Roger Quảng Bình - Nhà thông minh Homegy Quảng Bình,"455A Lý Thường Kiệt, Đồng Phú",17.4838425,106.6073165,Cổng
ChIJXQtKqsSxQDERbe0P85VMFhQ,Cổng chào xóm Sơn Khoa,"5RR6+WC, Mỹ Thuỷ",17.1922658,106.8111121,Cổng
ChIJ65oEIwCtQDERwTkehW6i_ws,Cổng làng thôn đồn,"7MGM+CQ2, Thôn Đồn",17.276015,106.6843917,Cổng
ChIJ12pDMa-ZODERyDbF-nSPvcc,Phòng Khám Nhi đồng - BS Dũng,Cổng Tây chợ,17.7517333,106.4212277,Cổng
ChIJFwmpanFXRzERTHehnHKwd6s,Phòng vé máy bay Sơn Đoòng,"GH6Q+3QP Cổng sân bay, 16-6 Võ Xuân Cẩn, Lộc Ninh",17.5102104,106.5894319,Cổng
ChIJlVH-d5qxQDERKM4GQ2M_hsw,Trung Tâm Kính Mắt Đồng Hồ Quang Doan,18 Lý Thường Kiệt Đối diện ngay cổng Bệnh Viện,17.2204348,106.7862589,Cổng
ChIJ74nNtuiYODERNMQ0RWDlP1M,Nhà Nghỉ Đồng Quê,"QC56+6M2, P. Quảng Phong, thị xã, Quảng Phong",17.7580164,106.4116468,Cổng
